title,date,run_time,genre,rating,introduction,director,stars,num_votes
La Pelicula Sin Nombre!,2023-01-01,59,Comedy,9.3,"When Memin runs out of money and feels like there is no exit, his life changes, but with someone else's money, his best friend Boobie Tanga, they start investing in cannabis, and things get crazy.",Memin Calidad,Chente Ydrach,6
Atrabilious,2023-01-01,105,"Comedy, Horror, Thriller",7.9,"Atrabilious follows Steven Joyner as he tries to solve the mystery behind his son's sudden, tragic and potentially fabricated death.",William Atticus Parker,"Leon Addison Brown, Mark Boone Junior, Whoopi Goldberg, Jeffrey Wright",34
I migliori giorni,2023-01-01,101,Comedy,5.5,,"Massimiliano Bruno, Edoardo Leo","Claudia Gerini, Greta Scarano, Anna Foglietta, Luca Argentero",460
Grom: Trudnoye detstvo,2023-01-01,80,"Action, Adventure",6,"Twenty years before the 'Plague Doctor' events, Igor Grom was just a schoolboy who loved hanging out in the streets with his best friend while his dad spent nights at police work chasing ...",Oleg Trofim,"Kai Aleks Getts, Sergey Marin, Alexey Vedernikov, Vladimir Yaganov",540
Tre di troppo,2023-01-01,90,"Comedy, Romance",6.2,Marco and Giulia are a couple who don't want children but one day fate has a surprise for them.,Fabio De Luigi,"Barbara Chichiarelli, Fabio De Luigi, Fabio Balsamo, Virginia Raffaele",224
Survive N Chicago the Movie,2023-01-01,,Drama,,,Gregory Bennett,"Gregory Bennett, Pretty Rickey PR",
Invisible Hacker,2023-01-01,150,"Action, Scifi",9.3,"""Invisible Hacker"" is an action-packed thriller about two skilled hackers, Ricky Riyaf and Juwel Chowdhury, who find themselves on opposite sides of the law. Ricky, a former black hat ...",Juwel Chowdhury,"Juwel Chowdhury, Ricky Riyaf",26
Prisoner of Love,2023-01-01,,Drama,,Four couples experience emotional turmoil and growth while navigating every day life with friends.,Michele Adams,"Pedro Arjon, Jacqueline Bell, Melanie Drake, Dustin Garrison Jr.",
Wyatt Earp and Bass Reeves,2023-01-01,84,"Drama, Western",2.6,Wyatt Earp is building his own town in far northern California when he is confronted with something much worse than any of the outlaws he has faced before...the legendary and menacing Emmett Black and his Black Train.,Christopher Forbes,"William Adams, Mitch Allman, Jezibell Anat, Jerry Chesser",10
Chebi: Gấu Tai to Đáng Yêu,2023-01-01,113,"Comedy, Family",5.8,"What if Cheburashka really exists? What if he is not a plush toy, but quite a real furry animal that lives in an orange grove in a distant country?",Dmitriy Dyachenko,"Artyom Bystrov, Ekaterina Cherednik, Debi Derryberry, Fyodor Dobronravov",1341
Dollhouse,2023-01-01,,Thriller,6.3,"A young African American woman who struggles financially while doing food delivery as her second source of income, When she encounters him she finds herself trapped and manipulated. He won't stop until he finds a way to make her love him.",Mark K. Buddington,"Jessica Fontaine, Shuntel Renay, Leslie Black, Reece Odum",10
Storm Over Georgia,2023-01-01,82,"Drama, History, War",4.6,"In the middle of Sherman's March, in eastern Georgia, Confederate infantry, cavalry, and artillery make a bold stand against the overwhelming numbers of the Union army as it tears across Georgia.",Christopher Forbes,"William Adams, Jezibell Anat, Jerry Chesser, Eddie Rodgers",8
The Dreaded Ballerinas,2023-01-01,66,Western,,"An odd traveler named Nice Eyes walks the streets and deserts of Utah as his mind, body and soul deteriorate into a far more primitive state.",Dallas Salyers,"Keen Danza, Ethan McLain, Dylan Gilbert, Dallas Salyers",
The Creeps,2023-01-01,49,Horror,4.4,"Five jolting tales of terror are sure to creep you out featuring monsters, madmen, and more.",Dustin Ferguson,"Debra Lamb, Jarad Allen, Dorothy Booraem, Danielle Brookshire",11
Ruletka,2023-01-01,,Thriller,,,Jimmy Castro,"Giuliana Benitez, Melisa Cosentino, Remzi Pamukcu, Germán Tirini",
American Terror Tales 2,2023-01-01,73,Horror,4.5,"From the hottest directors in Horror comes three tales of terror featuring Killer Dolls, Demonic Possession, and Witchcraft at a prestigious Dance Academy.","Dustin Ferguson, George James Fraser, Joe Lujan, Brad Twigg","Stan Lee Beachley, Edward Calhoun, Kelsey Cooper, Cortney Costanzo",17
Frisky Business,2023-01-01,93,Drama,,"A defiant shorts exploring passion, persecution, and revolt from past, present, and future eras, ranging from tales of an anxious young drag queen in mid-'90s Chile to a lively American summer camp that flips the script on gay panic",Yu-Tong Weng,"Andrew Bargsted, Thor Braun, Lars Brinkman, Chih-Han Chang",
Mavrick N Grundy,2023-01-01,,Comedy,6.8,"Based on true Events! This Action/Comedy explains the life of American Gangster Mavrick, the Soul Collector & Grundy, a wild weed smoking, beer drinking, woman chasing Aussie from Down ...",Guy A. Grundy,"Mavrick Von Haug, Guy A. Grundy, Galina Slavova, Vernon Wells",9
Aik Thi Laila - The Film,2023-01-01,159,Romance,,"Story is about a girl named Laila (Iqra Aziz), who goes missing. And instead of catching the culprit responsible for her disappearance, many, including her ex-fiancé and the police, begin ...",Yasir Hussain,,
Book of Creatures,2023-01-01,50,Horror,,"Four horror stories filled with Creatures, Critters and other Creepy things sure to chill your bones.","Dustin Ferguson, Vanessa Smith",Jennifer Nangle,
Population 2 the Director's Cut,2023-01-01,110,Scifi,,"Set against the backdrop of a post-Apocalypse Earth, Population 2 is about a relationship that ends in tragedy forcing a woman to struggle in the aftermath.",Gil Luna,"Suzanne Tufan, Shelly Lipkin, Meredith Adelaide, Bonnie Auguston",
O Katha,2023-01-01,,Drama,9.4,"After a 10 years of separation, Priya's ex-boyfriend gets in touch on social media and forces her to meet with him. Unbeknownst to her husband, she invites him to their home. The tension and drama that ensue form the crux of the film.",Murali Sarvannagari,"Jagadeesh Prathap Bandari, Shyam Krishna Govindh, Bheem Laxmiputra, Pravanya Reddy",44
Pastor's Kid,2023-01-01,90,Drama,,"Roofied one night at a bar, Riley is saved from two sexual predators by one of her friends. This one event sets off a chain reaction, reconnecting Riley with her mother and bringing up a painful past of abuse and religious hypocrisy.",Benjamin Ironside Koppin,"Courtney Bandeko, Alfredo Tavares, Caleb Thomas, Krista Morin",
Searching for Mr. Right,2023-01-01,,"Adventure, Drama",,"This film is a story about three young ladies who just found the love of their lives. The men they found were caring, charming, loving, good looking and rich. They thought they can now ...",Mike Aki,"Mike Aki, Eric Sean Atwood, Olga Balaban, Aviv Bar-Tal",
Cutthroat Texas,2023-01-01,126,Crime,,"Two corrupted Texas police officers live life on the edge breaking laws they were sworn to uphold but their partnership would take a dark turn over drug money greed and power in the dangerous streets of Beaumont, TX AKA Big Money Texas.",Terryone Wiggins,"Laron Collins, Johnny Harris, Damon Lawrence, Darrol Riley",
Madaar,2023-01-01,93,Drama,,"How the life of the people in the rural areas gets burnt due to drought, the relations get heated like the soil heated in summer. If there is moisture in the soil, there is also sweetness ...",Mangesh Mahadev Badar,Milind Shinde,
K-von: Essential,2023-01-01,50,Comedy,,,Kevan Moezzi,Kevan Moezzi,
The Michigan Furniture Maker,2023-01-01,60,Horror,,"One night, four kids go out to get snacks, and on their way home, they end up trespassing on a crazy furniture maker, who is mentally challenged, and about to kill them to make more furniture.",Kalel Creasy,"Allie Amlotte, Lee Bepristis, Alexandrea Burt, Elliott Butler",
The Mob (Long hu zhi ba),2023-01-01,102,Action,,,Zhao Cong,"Zhang Junran, Kyrylo Shulga, Fangzhou Xu",
House of Ra: The Legend of Reo,2023-01-01,,"Adventure, Fantasy, Scifi",,"On National Reo Day, The Sol Elder sits down to talk about the Legend behind Reo of the House of Ra. There was a prophecy that a fallen house will regain glory by finding an ancient life ...",Antoine M. Dillard,"Naomi St. Hill, Tyrongela Ross, Adam Griggs, Shawon Smith",
1943,2023-01-01,81,Thriller,,"From the director of ""Eden Prime,"" ""Hardline 2nd Term,"" Kennedy Lucas' next thriller expands to the era of the 1940s, when Detective John Clark uncovers the murder mystery of young impressionable women in the heart of Hollywood.",Kennedy Lucas Patterson,"Hailey Bailey, Drew Cooper, Chris Goodman, Kenan Grant",
Seascape,2023-01-01,103,Adventure,,Actress Judith is invited by young aspiring director Ferdinand to shoot a film on the Atlantic coast of southern France.,Maximilian Wigger,"Calvin-Noel Auer, Verena Buss, Carla-Frieda Nettelnbreker, Ferdinand Nowitzky",
Birds at Night,2023-01-01,70,Thriller,8.5,A mysterious new street drug gives users violent reactions.,Mike Ellwood,"Sia Poorak, Corey Zuko, Travis Arnold, Onuma Anida",15
Duck,2023-01-01,6,Comedy,,A woman is followed everywhere by a man-sized duck.,Lisa Keogh,"Gemma Mae Halligan, Jude Quinn",
Tonic,2023-01-01,9,Drama,,"In his student accommodation, a young man struggles with psychosis, missing lectures, and trying to salvage his day, and with it his mental health. When a friend offers him a lifeline, he ...",Christian Bevan,"Samuel Adebayo, Ahmed Elhaj",
Inside a spider,2023-01-01,,Horror,,A Moscow family is trying to hide from the chaos that's dragging the whole world into the black whirlpool of the apocalypse. But barricades in the corridor and hazmat suits won't help. ...,Arseniy Gonchukov,"Vladimir Lubovsky, Ekaterina Pavlova, Eva Roytman, Dima Rubin",
Immortal Obsession: A History of Vampires,2023-01-01,75,Horror,,"Sink your teeth into the captivating history of vampires, their origins in ancient folklore and their role in literature, film, TV and video games.",Brian Cunningham,Brian Cunningham,
Bluff,2023-01-01,66,"Crime, Drama, Mystery",9.3,"A suspect of murder goes ""by hook or by crook"" way to prove himself not guilty.",Ravikant Narayan,"Kuldeep Singh, Rakhi Nagar, Puneet Kunchhal, Moni Shankar",25
Human,2023-01-01,,Drama,,,,"Michael Ozzy Moffett, Sanaja Andre, Nathaniel Buchanan, King Judah",
The Quest Get Back Your Ex,2023-01-01,60,Drama,,,Avi Schwartz,"Tatiana De Leon, Josh Jones, Javier Jorge, Roman Kay",
Break Glass,2023-01-01,113,Comedy,,"Ryan Nichols (Ricky DeRosa) has found himself living in his childhood bedroom, 6 days from his ex-wife's (Meggy Hai Trang) wedding and 7 days from his suicide. Resigned to his situation, ...",Jay Leonard,"Ricky DeRosa, Suzanna Bornn, Jeff Raiano, Jesse Lawrence",
The House on the Borderland,2023-01-01,70,"Animation, Horror",,"A lone recluse, wrought with grief, fights demons, even risking the end of the earth, to reunite with his beloved. Animated, from the classic novel of the same name.",Paul Huenemann,Paul Huenemann,
Love & Fate,2023-01-01,,Family,,,Chidi Chijioke,"Aloy Amadi, Emma Ayalogu, Precious Shillings Emem, Ikenna Jude",
Devil's stone,2023-01-01,,Adventure,,,Arseniy Gonchukov,"Angelina Edwards, Valeriy Kukhareshin, Afina Lukidi, Aleksandrina Oleksyuk",
Los gigantes,2023-01-01,12,Drama,,"Around a campfire in the Ngäbere language, Major Francisco Rodríguez tells the Ngäbe-Buglé community of La Casona the mythical story of ""Los gigantes"". His words merge with the recreation ...",Jurgen Ureña,"José Ángel Moreno Bejarano, Siana Moreno Bejarano, Brukwa Rodríguez Guerra, Luisa Bejarano Montezuma",
Ikenna's Trial,2023-01-01,,Drama,,"In the quest to provide for his poor family, 22-year-old Ikenna enrolls in AreaBoyz Mechanic Workshop which also serves as a criminal's den, He will fight for his life while he awaits trial for a crime he has no knowledge about.",Allen Onyige,"Keppy Ekpenyong-Bassey, Chimezie Imo, Roland Akande, Afolabi Akinwunmi",
The Perfect Plot,2023-01-01,45,"Comedy, Family",,"Their dad is in love, but the twins develop the perfect scheme to ensure the vicious neighborhood bully never becomes their stepbrother.",Jessica B. Smith,"Canaan Smith, Chauncey Smith, Chauncey Smith, Jessica B. Smith",
ParlaNchíno Ateo: Errorista Comunista 6,2023-01-01,71,"Comedy, Crime",,,Jorge Luis Villacorta Santamato,Jorge Luis Villacorta Santamato,
Hinter den Linien,2023-01-01,,Drama,,,Lukas Groß,"Juliette Madeleine Jozwiak, Timo Krok, Kris Köhler",
Mino,2023-01-01,,Drama,,"Mino's refusal to be married through traditional rite plunges her village into an oppressive tyrannical rule by a rogue chief's son driving her deep into the forest, but her return changes the destiny of her people.",Peterson Kariuki,"Brian Gichuhi, Zainabu Harri, Kennedy Luyali, Zainabu Muni",
Perfect Blend,2023-01-01,,Drama,,,Chibuike Ibe,"Felix Amadi, Mary Ann Apollo, Dan Baba, Chucks Chyke",
The Sound of Your Voice,2023-01-01,120,"Drama, Romance, Thriller",,"A romance-thriller about a linguistics student who is unsure of a direction to take his research. After stumbling upon a young woman and offering her a chance to be one of his test subjects, the two begin an obsessive relationship.",Nate Shapiro,"Jake Gillespie, Chloé Ryan, John Scherschligt, Raelin Searcy",
Rayhan Kadar Gallery,2023-01-01,,News,,,,"Jubayer Ahmed Babul, Rime Hakkou, Free Squad",
Herd,2023-01-01,,"Drama, History, War",,,Bazarragchaa Otgontuul,"Batmend Baast, Mend-Bayr Dagvadorj, Nomin Erdene, Erkhembayr Ganbold",
Haunted House Ambience,2023-01-01,150,Animation,,"This Halloween, enjoy a spooky ambiance with 2.5 hours of relaxing rain and Halloween sounds.",,,
Bennet's Cow-Eyed Girl,2023-01-01,208,Drama,,,Damian Westfall,"Ryan Cason, Giselle Liskova, Benjamin L. Newmark, Sarah Rose",
Playa Connection Da Comedy Movie,2023-01-01,66,Comedy,,"Playa Connection is a magazine owned by two people. Vee, the recruiter, and Joe. They are trying to keep the publication above water, so they do everything they can to print up a new issue.",Dorian Welch,Vee The Recruiter,
View After Rain,2023-01-01,,Fantasy,,"Vishal Meena was born on 01 January 2002 in a Marwari family in Ranoli village of Tonk district, Rajasthan. Vishal Meena Young Music Artist: Music Producer and Director, Rapper, Composer, ...",Vishal Meena Phagi,Vishal Meena Phagi,
Sunset Sounds of the Mediterranean Sea,2023-01-01,60,Adventure,,Watch the Sunset on the Mediterranean Sea in Egypt while listening to ambient music from around the world,Taylor Golonka,Taylor Golonka,
Loyalty,2023-01-01,62,Crime,,"When Fendi hears her brother Bill was gunned down in the streets of Phoenix. Fendi and her female crew (Honey and Cartier) wreak havoc, seeking revenge.",Taye Martin,Tunnisia Nelson,
Shinrei Yami Douga 73,2023-01-01,51,Horror,,"73rd installment in the ""Shinrei Yami Douga"" series, the successor to ""Yami Douga"".",Takao Daimon,Michiyo Sasaki,
Peacemaker,2023-01-02,60,Western,6.3,23 nuns and 7 priests are found dead at the burned down monastery Saint Martin in 1891. US Marshall William James Richford and Mounted Policeman Richard Custer need to work together to find the culprits.,Maximilian Osterholz,"Talisa Lara Schmid, Ferdi Özten, Neven Nöthig, Daniel Bohrer",17
X KNIGHT Escape from Warp Hell,2023-01-02,81,Horror,3.3,"While Rockwood Cities masked hero X KNIGHT is battling the Sea Demon pirates, he must battle his own demons in the purgatory world of Warp Hell. For if he doesn't, his soul will not be the only one lost in the darkness.",Jim Cannatelli,"Tara Beavers, Nikki Hrichak, Jim Cannatelli, Dolby Zaccarelli",6
Four Deaf Yorkshiremen's Contest,2023-01-02,,Comedy,,Comedy (2023). Fred struggles to keep up with the other men when Bruno arrives in the village to organise a tough contest. Fred faces a medical emergency that helps him understand the past....,Louis Neethling,"Anil Bammi, Sarah-Louise Booker, David Ellington, Jahannah James",
Space Man,2023-01-02,,Drama,,,Mr. Yash,Mr. Yash,
ParlaNchíno Ateo: Errorista Comunista 7,2023-01-02,72,Comedy,,,Jorge Luis Villacorta Santamato,Jorge Luis Villacorta Santamato,
Phi Vụ Toàn Sao,2023-01-03,114,"Action, Comedy, Thriller",6.3,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,Guy Ritchie,"Jason Statham, Aubrey Plaza, Cary Elwes, Hugh Grant",64110
Firenado,2023-01-03,81,Action,3.5,An accountant for the mob has to escape a whirlwind of fire while being chased by armed robbers.,"Rhys Frake-Waterfield, Scott Jeffrey","Nicola Wright, Sian Altman, Toby Wynn-Davies, Daniel Godfrey",237
Ascension,2023-01-03,81,Horror,3.2,"Eight students are in lockdown at their college dorm following a global pandemic, unable to connect to the outside world. They soon realize they are victims of a far more sinister and unexpected entity.",Micheal Bafaro,"Angel Abba, Reanna Cameron, Oliver de la Harpe, Stina Duval",79
Cvrcak i mravica,2023-01-03,82,"Animation, Adventure, Family",7.9,"Here is a new take on the famous fairy tale first told by Aesop and then Jean de la Fontaine. Ket, a guitar playing cricket, leads a band to entertain the carefree bugs. Nearby lives ...","Luka Rukavina, Kristijan Milic, Dino Krpan","Tara Thaller, Marko Petric, Luka Petrusic, Hrvoje Keckes",61
Dragon Tales,2023-01-03,105,Family,3.8,"Enter a magical world of magical kingdoms, heroism and...dragons. From the Moonbeam family film library comes this charming fantasy clip collection designed to whisk you away to another world.","Ted Nicolaou, Phil Comeau, James Head","Jason McSkimming, Courtland Mead, Benjamin Plener, Brittney Powell",14
Down Bad: Life in the Hood,2023-01-03,149,Drama,6.1,A day in the life of three friends near a small town in West Tennessee when greed causes one friend to make a terrible decision that causes a domino effect of drama to come.,Jaron Lockridge,"Christopher Ambrose, Ebony Bivens, Antwon Burchett, Shermane Cowans",266
Escape,2023-01-03,108,"Crime, Mystery, Thriller",8.1,"Trapped in a mysterious room with no memory of his true identity, Adam must race against time and uncover his true self in order to put an end to a terrorist group that is on a mission to destroy his country.",Ikhwansha Hazer,"Kamal Adli, Riz Amin, Pablo Amirul, Jue Aziz",22
Then There Was You,2023-01-03,84,"Comedy, Drama, Music",7.4,A ladies man gets more than he bargained for when he falls in love with a spoken word artist who introduces him to the true meaning of life and love.,Adewale Bajere,"Lashawnda Batts-Bowser, Luree Gorden, Jerel Tyrone Miller, Shareed Ross",10
Idia's Melody,2023-01-03,175,Drama,,,Ben Cassie,"John Melvin Abraham, Emma Ayalogu, Chike Daniel, Ola Daniels",
Our Village Looks Like This,2023-01-03,120,,,"We shot this video in Phagi, a village located in Jaipur district of Rajasthan state of India, there was a beautiful view at that place, one side pond filled with water and one side pad ...",,"Neha Kakkar, Hansraj Meena, Suresh Kumar Meena, Jeetu Parjapta",
Tani-Mani Bhojpuri,2023-01-03,,Family,7.5,"Tani-Mani Bhojpuri is India's first Bhojpuri podcast, by Digav Aaditya Singh Rajput. This podcast occasionally features talks on various topics related to Bihar in Bhojpuri.",,Digav Aaditya Singh Rajput,6
A Obra,2023-01-03,6,Comedy,,"Alexandra Salvador works at a copy center and dreams of being an author. Bored with work, she entertains herself by reading pages from the books she photocopies.",Sandra Cristina Sousa,Helena Avila,
Passion of Christ 3,2023-01-03,,Drama,,,Sudam Rawde,"Ashish Rawde, Pranjal Rawde, Gaurav Shinde",
ParlaNchíno Ateo: Errorista Comunista 8,2023-01-03,69,Comedy,,,Jorge Luis Villacorta Santamato,Jorge Luis Villacorta Santamato,
Mend My Heart,2023-01-03,,Romance,,,Emmanuel Anyaka,,
Ước Gì Được Nấy,2023-01-04,113,"Comedy, Drama, Fantasy",6.5,"The movie ""Switch"" is about top star Park Kang, who is a hit actor but a troublemaker, meets a taxi driver on Christmas Eve and experiences a new life.",Ma Dae-Yoon,"Oh Jung-se, Oh Jung-Se, Kim Mi-kyung, Lee Min-Jung",251
Battlebox,2023-01-04,77,"Drama, History, War",4.5,"With a sudden attack by the Japanese, British Major-General Maltby and his top officers struggle with the decision to either fight to the death or offer a humiliating surrender of the British Colony of Hong Kong.",Craig McCourry,"Michael Szuc, Mira Leung, Jai Day, Alexander Zorn",624
The Raker House,2023-01-04,79,Thriller,4.7,"In a surreal suburbia, a disoriented man with memory loss suspects his mortician wife is behind it.",John Covert,"Alex Javo, Whitney Lavaux, Niko'a Salas, John Covert",50
Paradies,2023-01-04,,Thriller,,,Dale Stelly,"Tyler Abron, Summer Nikki Arroyo, Kayla Eva, Horacio Louis Guerrero",
Mask,2023-01-04,,Drama,,,Ashish Kumar,"Anirban Ghoshal, Brijendra Kala",
Leon - Kämpf um deine Liebe,2023-01-04,89,"Drama, Romance",5.7,"While Leon and Sarah are planning their wedding, a surprise is just around the corner: Jan, Sarah's brother who disappeared 30 years ago, returns to Engelshoop. Sarah is overjoyed, but soon...",Klaus Knoesel,"Daniel Fehlow, Susan Sideropoulos, Daniel Roesner, Sarah Hannemann",10
Ausências Que Ficam,2023-01-04,,Drama,,,João Paulo Simões,"Rita Calçada Bastos, Alexandre Guedes de Sousa, Isabel Angelino, Mauricio de Almeida Gomes",
VIS - Vampire ipnotiche seduttrici,2023-01-04,87,Horror,,,Roger A. Fratter,"Daniela Picciolo, Francesca Cavallo, Fabiola La Gala, Roger A. Fratter",
ParlaNchíno Ateo: Errorista Comunista 9,2023-01-04,73,Comedy,,,Jorge Luis Villacorta Santamato,Jorge Luis Villacorta Santamato,
TheYoungins,2023-01-04,,Comedy,,In need of some quick cash they come to the conclusion breaking into houses is the easiest way.,Jaray Reeves,"Aaviyahn Bland, Jaray Reeves Jr.",
Popurrí,2023-01-04,89,Drama,,,Ricardo Rivas,"Rocío Ambrosoni, Jorge Nemirovsky, Nadine Cifre, Joaquin Miguelez",
The Hammer,2023-01-05,85,"Biography, Crime, Drama",6.9,"Kim Wheeler, an attorney who is appointed as a judge for Nevada's 5th district after the former judge's death. As the investigation into the death intensifies, Kim's sister, who runs the local brothel, becomes the prime suspect.",Jeff Beesley,"Melissa Peterman, Reba McEntire, Rex Linn, Garry Chalk",971
Xác Ướp: Cuộc Phiêu Lưu Đến London,2023-01-05,88,"Animation, Comedy, Family",5.9,"It follows three mummies as they end up in present-day London and embark on a journey in search of an old ring belonging to the Royal Family, stolen by the ambitious archaeologist Lord Carnaby.",Juan Jesús García Galocha,"Óscar Barberán, Ana Esther Alborg, Luis Pérez Reina, María Luisa Solá",7233
Transfusion,2023-01-05,106,"Action, Crime, Drama",5,A former Special Forces operative thrust into the criminal underworld to keep his only son from being taken from him.,Matt Nable,"Sam Worthington, Matt Nable, Phoebe Tonkin, Edward Carmody",2382
Gangnam Thất Thủ,2023-01-05,81,Horror,3.2,"Citizens from upscale Gangnam in Seoul start experiencing unusual and terrifying symptoms, devolving into inhuman creatures, leaving only a few survivors with the possibility to make it out alive.",Soo Sung Lee,"Il-Joo Ji, Ji-Yeon Park, Kyoung-Hoon Jo, Min Choi",429
Circle Line,2023-01-05,80,"Action, Horror",3.6,"A group of commuters on the last subway train home, who are stalked by an unknown monster. Yi Ling's maternal instinct is tested, and duty engineers try to rescue the survivors.",J.D. Chua,"Jesseca Liu, Nathaniel Ng, Patrick Pei-hsu Lee, Johnny Ng",293
Rafadan Tayfa Galaktik Tayfa,2023-01-05,86,"Animation, Comedy",6,,Ismail Fidan,"Sirin Giobbi, Levent Kol, Emine Sergen, Yagmur Sergen",190
The Haunting of Julia Fields,2023-01-05,71,Horror,5.1,A young woman from a small town moves out on her own for the first time only to realize something sinister lurking inside her new home.,Joseph Mazzaferro,"Noah Diggs, Jess Gluzband, Callie Grayson, Nick Hansell",57
Papá al rescate,2023-01-05,100,"Comedy, Drama",4.3,"Nicolás, one week away from getting married, receives a letter that forces him to face his best-kept secret: he is the father of a girl he only knew at birth. He only has 3 days to recover her before she goes to the adoption system.",Marcos Carnevale,"Laurita Fernández, Fernando Larraín, Rodrigo Muñoz, Alejandra Vega",193
Alena: Anak Ratu Iblis,2023-01-05,97,"Horror, Thriller",3.9,"Hendra and Maya found a small child on their way home. The couple, who were not blessed with children, adopted the child and named it Alena. Since being adopted, Alena has had a positive ...","Sonu Samtani, Bobby Moeryawan","Temmy Rahadi, Ririn Ekawati, Ciara Nadine Brosnan, Karenina Anderson",12
Cancer,2023-01-05,107,Drama,7.2,"It Ain't Over is the story of the hope of survival for two athletic teenagers, Alexis Hamilton and Chance Logan, stricken with cancer. This emotional story deals with the complex realities of death and the fragility of life.",William Sheals,"Anthony J. James, Sarah Girma, William Sheals, Ronald Hines",12
Roger Federer: A Champions Journey,2023-01-05,53,Sport,5.6,"Wimbledon Stadium's Honour Board is full of illustrious names. And in 1998, another emerged. Roger Federer. When he won the Junior Wimbledon title at 17 years old, he never imagined the success that would follow.",Roxane Schlumberger,"Novak Djokovic, Roger Federer, Boris Johnson, Andy Murray",32
Angel,2023-01-05,,Drama,,,Jamal Hill,"Amy Correa Bell, Julie Dolan, Beth Nintzel, Elijah Surin Padilla",
Rainbow Door,2023-01-05,,"Comedy, Drama, Fantasy",8.6,"A writer struggles with a screenplay, death, alcohol and what color the door should be painted.",Trent Moran,"Kerry Fleming, Wesley Blake, LaVar Veale, Judy McMillan",18
Teacher Mechy,2023-01-05,97,Comedy,7.1,"After years in New York, Mercedes, a hardworking teacher, returns to the Dominican Republic and lands a job to teach modern dance in a high-class school - knowing nothing about modern dance.",Frank Perozo,"Cheddy García, Irvin Alberti, Francisca Lachapel, Denise Quiñones",15
Thugs of Ramaghada,2023-01-05,118,"Crime, Drama",8,"Samuel reaches Ramaghada looking for Aravind, who is hiding there after committing robbery and murder, which leads to a battle of ego, revenge and bloodshed.",Karthik Maralabhavi,"Chandan Raj, Ashwin Hassan, Mahalakshmi, Tiger Ganga",1266
Kanwar,2023-01-05,118,Drama,7.3,Dance of sin and morality in the chaotic world of Kanwar pilgrimage that pushes a group of boys to a gray area between right and wrong.,Praful Tyagi,"Amit Malik, Nitin Rao, Narendra Rao, Rishab Parashar",21
Eternamente Adolescente,2023-01-05,,Comedy,1.1,"An actor who was famous and successful when he was just a 15-year-old teenager starring in the movie ""The Pool Cleaner."" Today, he finds himself without a job, without money and without friends, still living in his parents' house.",Gonzalo Badilla,"Sebastián Badilla, Rodrigo Bastidas, Sofía Bennet, Gabriela Fuentes",16
Prathyardhi,2023-01-05,120,Crime,8.9,Prathyardhi revolves around a mysterious case of a missing person Vijay.Sub inspector Krishna considers it a case of murder and police arrest the suspects.What happens when an unexpected rival springs out with new revelations?,Shankar Mudavath,"Rohit Behal, Neelima, Thagubothu Ramesh, Akshata Sonawane",12
Car 24,2023-01-05,,"Action, Crime, Drama",6.8,Two hit men who don't know each other end up trapped in a car for 24 hours parked in a Los Angeles street awaiting orders to kill a target. Both men will undergo a conscience check as well as human existence conflicts.,Matías Desiderio,"Matías Desiderio, Salvatore di Costanzo, Lexy Panterra, Frankie Jaime",8
Naanu Kusuma,2023-01-05,105,Drama,8,"The feeling of comforting Kusuma, who is silently protesting against the malevolent society that fulfills the needs of the body.",Krishne Gowda,"Krishne Gowda, Sridhar Kaveri, Krishnegowda, Sanatani",15
La Sexóloga,2023-01-05,90,Comedy,,"Are you one of those who likes to fantasize in bed using one or another fetish to keep the flame alive? Apparently, these sexual games are not always successful... This Sexologist (Flavia ...",Ángel Ayllón,"Freddy Beltrán, Flavia Dos Santos, Pedro Antonio Gonzales, Hassam",
Diálogos de muerte,2023-01-05,,Drama,,"Based on ""Dialogues between a priest and a dying man"" by the Marquis de Sade. This film explores some the moral, religious, and philosophical conundra that come across the minds of those who have self-questioned their beliefs and faiths.",Mauricio De la Maza-Benignos,"Diego Abelardo, Christian-Luigi, Mauricio De la Maza-Benignos",
The Sonneteer,2023-01-05,101,"Crime, Drama, Horror",,A troubled journalist is forced to confront the realities of being an outsider in the West as he searches for the enigmatic serial killer that murdered his parents many years prior.,Jawad Asaria,"Éamonn Barry, Allegra Capucci, Brian Coe, Serena Grewal",
Sadguru,2023-01-05,,Drama,8.5,,Vikramaditya,"Sanjana Ghorpade, Diganth Tumbarbuddi, Tulasi Mokashi, Naman Kanavalli Hiremath",6
First Time,2023-01-05,87,Romance,,,Olowajaiye Michael,"Echezona Akachukwu, Vanessa Arit, Nanya Chukwuemeka, Lola Nweze",
Finding Solace,2023-01-05,117,Drama,,,Omoruyi Wallz Efosa,"Kayode Aiyegbusi, Ray Emodi, Sotonye George, Jennifer Martins",
Leap of Faith,2023-01-05,,Drama,,,Emeka Madu,"Desmond Agbo, Light Dokolo, Mary Lazarus, Odafe Leukeng",
The Machete,2023-01-05,90,Drama,,"The machetera is inspired by real facts, in 1978 in Cuba. Marisol is a stubborn woman from the city. She now resides in the Cuban countryside with her beloved but fragile husband. He has ...",Yanet Pavòn Bernal,"Luis Ricardo Faura, Alexey Fuentes Gusman, Esnedy Milan Herrera, Dennis Perez Ramirez",
